scenario; id; x; y; arrival; demand
1; 1; 807; 249; 23; 1151
1; 2; 930; 272; 144; 1358
1; 3; 923; 709; 90; 755
1; 4; 492; 42; 87; 1370
1; 5; 327; 729; 40; 652
1; 6; 303; 169; 9; 452
1; 7; 560; 933; 99; 1269
1; 8; 816; 335; 97; 1156
1; 9; 512; 267; 110; 353
1; 10; 979; 149; 129; 177
1; 11; 967; 672; 43; 1177
1; 12; 485; 745; 128; 139
1; 13; 194; 357; 101; 878
1; 14; 708; 944; 118; 1014
1; 15; 124; 196; 30; 1123
1; 16; 722; 666; 99; 1223
1; 17; 801; 853; 27; 387
1; 18; 228; 933; 148; 1005
1; 19; 635; 13; 15; 979
1; 20; 63; 536; 125; 1369
1; 21; 115; 94; 129; 466
1; 22; 517; 195; 105; 344
1; 23; 451; 298; 138; 1385
1; 24; 505; 882; 102; 620
1; 25; 716; 337; 38; 1240
1; 26; 501; 897; 71; 1422
1; 27; 137; 358; 127; 431
1; 28; 294; 904; 59; 880
1; 29; 745; 175; 135; 1013
1; 30; 142; 399; 68; 796
1; 31; 260; 557; 144; 1000
1; 32; 395; 968; 113; 874
1; 33; 6; 962; 142; 511
1; 34; 82; 852; 67; 1379
1; 35; 695; 712; 21; 1097
1; 36; 590; 831; 38; 39
1; 37; 616; 790; 140; 219
1; 38; 335; 6; 122; 940
1; 39; 95; 319; 54; 821
1; 40; 289; 760; 55; 801
1; 41; 123; 506; 113; 1370
1; 42; 238; 94; 120; 644
1; 43; 366; 534; 26; 580
1; 44; 363; 738; 94; 512
1; 45; 550; 159; 73; 499
1; 46; 385; 217; 122; 1347
1; 47; 247; 385; 46; 797
1; 48; 623; 420; 44; 84
1; 49; 735; 915; 75; 119
1; 50; 42; 11; 129; 936
1; 51; 244; 295; 68; 824
1; 52; 692; 815; 91; 856
1; 53; 669; 397; 3; 904
1; 54; 825; 210; 62; 615
1; 55; 808; 377; 61; 258
1; 56; 335; 868; 95; 476
1; 57; 767; 439; 124; 1195
1; 58; 556; 301; 22; 1070
1; 59; 94; 984; 5; 319
1; 60; 407; 15; 43; 232
1; 61; 680; 455; 105; 981
1; 62; 963; 502; 26; 972
1; 63; 249; 331; 144; 806
1; 64; 808; 997; 51; 1197
1; 65; 203; 731; 81; 1000
1; 66; 419; 775; 59; 996
1; 67; 929; 223; 4; 228
1; 68; 737; 545; 117; 138
1; 69; 200; 256; 14; 519
1; 70; 648; 704; 50; 570
1; 71; 976; 412; 4; 1325
1; 72; 504; 381; 148; 373
1; 73; 378; 699; 9; 283
1; 74; 553; 483; 47; 1056
1; 75; 773; 322; 105; 501
1; 76; 53; 224; 130; 1386
1; 77; 400; 444; 20; 1085
1; 78; 16; 898; 105; 1368
1; 79; 557; 576; 128; 346
1; 80; 357; 711; 128; 1126
1; 81; 819; 737; 83; 1258
1; 82; 720; 762; 133; 1318
1; 83; 31; 588; 39; 1422
1; 84; 877; 304; 108; 336
1; 85; 254; 960; 115; 912
1; 86; 480; 730; 105; 1251
1; 87; 107; 238; 0; 1246
1; 88; 35; 857; 113; 610
1; 89; 593; 360; 54; 1366
1; 90; 357; 585; 129; 409
1; 91; 563; 102; 67; 427
1; 92; 419; 967; 147; 1313
1; 93; 395; 303; 123; 1212
1; 94; 748; 385; 8; 27
1; 95; 406; 930; 74; 1046
1; 96; 973; 603; 147; 952
1; 97; 950; 231; 130; 1163
1; 98; 900; 520; 33; 776
1; 99; 3; 676; 100; 614
1; 100; 780; 879; 32; 1390
