scenario; id; x; y; arrival; demand
1; 1; 503; 421; 125; 498
1; 2; 300; 489; 112; 966
1; 3; 263; 643; 39; 63
1; 4; 735; 415; 14; 808
1; 5; 963; 758; 2; 496
1; 6; 316; 714; 20; 1380
1; 7; 450; 368; 141; 378
1; 8; 196; 787; 51; 565
1; 9; 128; 571; 98; 1363
1; 10; 253; 871; 79; 1223
1; 11; 719; 471; 20; 144
1; 12; 79; 630; 10; 210
1; 13; 113; 342; 138; 154
1; 14; 44; 828; 43; 1221
1; 15; 980; 0; 96; 795
1; 16; 370; 87; 43; 775
1; 17; 852; 261; 24; 864
1; 18; 380; 778; 7; 277
1; 19; 498; 14; 145; 417
1; 20; 509; 610; 49; 881
1; 21; 290; 55; 93; 819
1; 22; 385; 534; 75; 1111
1; 23; 151; 226; 101; 1319
1; 24; 783; 714; 87; 312
1; 25; 698; 100; 37; 927
1; 26; 878; 284; 42; 913
1; 27; 960; 67; 90; 797
1; 28; 566; 728; 112; 1435
1; 29; 969; 890; 73; 738
1; 30; 313; 761; 110; 1240
1; 31; 978; 0; 144; 1179
1; 32; 656; 551; 86; 301
1; 33; 544; 739; 126; 618
1; 34; 252; 108; 14; 896
1; 35; 19; 28; 71; 636
1; 36; 663; 947; 24; 791
1; 37; 854; 8; 131; 1132
1; 38; 288; 163; 9; 542
1; 39; 379; 356; 11; 271
1; 40; 353; 899; 88; 1276
1; 41; 880; 466; 133; 763
1; 42; 236; 909; 117; 559
1; 43; 939; 684; 51; 1133
1; 44; 266; 467; 10; 919
1; 45; 327; 773; 131; 455
1; 46; 936; 874; 135; 826
1; 47; 972; 28; 148; 1390
1; 48; 587; 297; 139; 730
1; 49; 90; 111; 112; 1223
1; 50; 112; 781; 51; 1387
1; 51; 321; 213; 78; 1056
1; 52; 600; 959; 54; 88
1; 53; 194; 330; 132; 1163
1; 54; 777; 779; 32; 520
1; 55; 383; 81; 3; 80
1; 56; 521; 956; 18; 83
1; 57; 900; 196; 20; 1384
1; 58; 599; 129; 94; 649
1; 59; 870; 416; 99; 430
1; 60; 618; 288; 52; 620
1; 61; 800; 662; 140; 589
1; 62; 385; 583; 115; 999
1; 63; 878; 959; 11; 607
1; 64; 48; 54; 90; 1071
1; 65; 770; 28; 51; 1038
1; 66; 869; 595; 69; 244
1; 67; 172; 923; 25; 554
1; 68; 850; 431; 143; 938
1; 69; 869; 670; 94; 1350
1; 70; 392; 64; 24; 297
1; 71; 519; 620; 62; 1249
1; 72; 725; 434; 99; 1383
1; 73; 322; 260; 143; 1368
1; 74; 122; 381; 66; 224
1; 75; 23; 722; 89; 294
1; 76; 793; 364; 128; 740
1; 77; 771; 341; 55; 786
1; 78; 489; 728; 120; 142
1; 79; 312; 616; 97; 1406
1; 80; 851; 672; 11; 746
1; 81; 736; 605; 7; 964
1; 82; 866; 553; 62; 293
1; 83; 40; 153; 57; 975
1; 84; 295; 139; 1; 153
1; 85; 694; 160; 138; 965
1; 86; 875; 598; 142; 645
1; 87; 562; 276; 86; 976
1; 88; 873; 464; 134; 204
1; 89; 119; 842; 28; 587
1; 90; 262; 145; 116; 731
1; 91; 172; 748; 50; 570
1; 92; 398; 292; 45; 658
1; 93; 300; 143; 142; 1253
1; 94; 783; 272; 1; 1410
1; 95; 221; 486; 13; 709
1; 96; 531; 357; 19; 161
1; 97; 856; 816; 104; 106
1; 98; 814; 615; 137; 655
1; 99; 297; 877; 110; 332
1; 100; 191; 231; 74; 429
