scenario; id; x; y; arrival; demand
1; 1; 587; 575; 113; 231
1; 2; 157; 716; 82; 90
1; 3; 962; 8; 90; 445
1; 4; 170; 406; 51; 968
1; 5; 620; 962; 117; 408
1; 6; 752; 894; 85; 1180
1; 7; 831; 363; 101; 317
1; 8; 451; 110; 149; 1076
1; 9; 234; 748; 23; 244
1; 10; 771; 932; 59; 1040
1; 11; 345; 702; 123; 1350
1; 12; 819; 494; 136; 779
1; 13; 392; 500; 96; 1305
1; 14; 365; 744; 106; 1120
1; 15; 917; 775; 95; 366
1; 16; 864; 491; 41; 217
1; 17; 756; 59; 97; 1421
1; 18; 309; 563; 72; 1429
1; 19; 899; 519; 70; 1332
1; 20; 148; 53; 126; 1106
1; 21; 833; 797; 93; 1229
1; 22; 8; 374; 116; 139
1; 23; 630; 581; 86; 981
1; 24; 669; 425; 108; 541
1; 25; 399; 421; 14; 76
1; 26; 56; 872; 3; 26
1; 27; 775; 581; 105; 967
1; 28; 48; 745; 102; 1138
1; 29; 631; 400; 113; 434
1; 30; 919; 370; 51; 1021
1; 31; 582; 579; 146; 597
1; 32; 501; 656; 30; 981
1; 33; 420; 362; 1; 203
1; 34; 170; 454; 57; 1366
1; 35; 15; 808; 61; 585
1; 36; 173; 878; 136; 886
1; 37; 52; 26; 29; 1186
1; 38; 432; 951; 122; 1407
1; 39; 187; 879; 8; 449
1; 40; 36; 202; 28; 935
1; 41; 88; 574; 59; 124
1; 42; 123; 762; 23; 787
1; 43; 879; 155; 124; 170
1; 44; 431; 657; 71; 846
1; 45; 194; 527; 6; 542
1; 46; 216; 347; 113; 1050
1; 47; 257; 860; 57; 798
1; 48; 236; 513; 83; 1001
1; 49; 910; 162; 66; 1214
1; 50; 108; 507; 123; 1276
1; 51; 896; 55; 74; 1018
1; 52; 408; 833; 111; 1300
1; 53; 571; 576; 64; 1434
1; 54; 289; 735; 9; 1206
1; 55; 694; 460; 27; 859
1; 56; 842; 455; 21; 128
1; 57; 580; 612; 9; 637
1; 58; 483; 545; 38; 706
1; 59; 938; 764; 31; 403
1; 60; 550; 118; 25; 923
1; 61; 274; 687; 92; 260
1; 62; 820; 782; 55; 264
1; 63; 220; 46; 103; 534
1; 64; 850; 975; 112; 1078
1; 65; 70; 438; 92; 475
1; 66; 735; 177; 134; 1213
1; 67; 874; 580; 40; 936
1; 68; 6; 881; 93; 802
1; 69; 355; 638; 125; 770
1; 70; 375; 986; 97; 984
1; 71; 537; 595; 33; 1147
1; 72; 176; 883; 82; 353
1; 73; 151; 599; 5; 966
1; 74; 377; 6; 90; 1435
1; 75; 396; 661; 131; 673
1; 76; 606; 379; 20; 564
1; 77; 357; 122; 53; 442
1; 78; 280; 503; 33; 1322
1; 79; 582; 857; 113; 708
1; 80; 637; 829; 137; 845
1; 81; 951; 94; 122; 176
1; 82; 630; 154; 56; 1219
1; 83; 717; 483; 139; 525
1; 84; 692; 639; 144; 180
1; 85; 83; 429; 65; 245
1; 86; 387; 940; 137; 990
1; 87; 679; 568; 13; 400
1; 88; 999; 447; 1; 325
1; 89; 205; 320; 144; 260
1; 90; 76; 430; 69; 1365
1; 91; 988; 629; 52; 544
1; 92; 558; 607; 31; 983
1; 93; 216; 409; 145; 818
1; 94; 685; 708; 63; 1166
1; 95; 105; 614; 104; 311
1; 96; 470; 163; 29; 1411
1; 97; 39; 59; 45; 1248
1; 98; 748; 744; 27; 37
1; 99; 491; 42; 98; 1429
1; 100; 4; 382; 56; 1375
