scenario; id; x; y; arrival; demand
1; 1; 133; 210; 42; 1136
1; 2; 270; 953; 3; 1410
1; 3; 128; 873; 32; 747
1; 4; 300; 405; 105; 136
1; 5; 384; 934; 97; 751
1; 6; 488; 785; 108; 330
1; 7; 774; 923; 111; 262
1; 8; 924; 335; 39; 269
1; 9; 344; 998; 147; 508
1; 10; 967; 383; 126; 711
1; 11; 836; 537; 96; 970
1; 12; 757; 942; 96; 343
1; 13; 381; 281; 94; 444
1; 14; 804; 655; 137; 559
1; 15; 217; 565; 93; 1061
1; 16; 938; 851; 137; 1308
1; 17; 680; 832; 76; 313
1; 18; 707; 414; 67; 844
1; 19; 638; 526; 45; 827
1; 20; 125; 307; 129; 1069
1; 21; 641; 959; 131; 1248
1; 22; 325; 494; 143; 1185
1; 23; 563; 429; 101; 1416
1; 24; 940; 53; 79; 715
1; 25; 280; 359; 124; 872
1; 26; 776; 589; 54; 768
1; 27; 968; 486; 116; 906
1; 28; 374; 698; 21; 1286
1; 29; 415; 227; 141; 781
1; 30; 158; 935; 115; 476
1; 31; 761; 832; 22; 307
1; 32; 194; 803; 54; 1401
1; 33; 516; 304; 83; 751
1; 34; 113; 411; 144; 588
1; 35; 759; 805; 72; 72
1; 36; 172; 215; 29; 362
1; 37; 143; 480; 109; 1146
1; 38; 184; 49; 111; 243
1; 39; 383; 848; 135; 1202
1; 40; 760; 580; 39; 310
1; 41; 733; 566; 35; 1230
1; 42; 585; 442; 74; 255
1; 43; 663; 893; 3; 522
1; 44; 363; 761; 141; 952
1; 45; 89; 797; 29; 445
1; 46; 569; 860; 81; 573
1; 47; 711; 513; 96; 1042
1; 48; 804; 123; 88; 794
1; 49; 820; 816; 115; 642
1; 50; 372; 612; 130; 846
1; 51; 900; 41; 18; 53
1; 52; 919; 943; 63; 519
1; 53; 58; 582; 67; 837
1; 54; 551; 461; 145; 1157
1; 55; 429; 627; 141; 426
1; 56; 460; 456; 142; 983
1; 57; 239; 411; 84; 626
1; 58; 513; 670; 108; 1365
1; 59; 120; 357; 45; 407
1; 60; 879; 199; 52; 723
1; 61; 167; 419; 119; 549
1; 62; 829; 799; 18; 980
1; 63; 805; 815; 87; 508
1; 64; 129; 24; 65; 406
1; 65; 472; 496; 60; 998
1; 66; 279; 371; 124; 1169
1; 67; 780; 577; 8; 514
1; 68; 115; 608; 21; 168
1; 69; 945; 852; 45; 1036
1; 70; 10; 160; 132; 314
1; 71; 282; 110; 101; 141
1; 72; 635; 20; 34; 926
1; 73; 605; 708; 27; 482
1; 74; 49; 993; 44; 244
1; 75; 624; 81; 61; 1204
1; 76; 638; 203; 57; 481
1; 77; 13; 295; 1; 1167
1; 78; 698; 857; 100; 1376
1; 79; 89; 801; 49; 769
1; 80; 674; 295; 28; 563
1; 81; 647; 581; 43; 515
1; 82; 168; 415; 76; 100
1; 83; 53; 764; 87; 379
1; 84; 519; 693; 106; 833
1; 85; 231; 378; 99; 1114
1; 86; 209; 387; 132; 918
1; 87; 984; 270; 3; 1255
1; 88; 388; 164; 138; 1434
1; 89; 607; 662; 58; 716
1; 90; 175; 977; 92; 793
1; 91; 29; 290; 60; 471
1; 92; 27; 521; 39; 67
1; 93; 364; 777; 36; 193
1; 94; 11; 684; 105; 1375
1; 95; 159; 539; 99; 845
1; 96; 172; 974; 140; 906
1; 97; 742; 222; 21; 1033
1; 98; 834; 447; 143; 841
1; 99; 101; 365; 48; 86
1; 100; 332; 388; 65; 1073
