scenario; id; x; y; arrival; demand
9; 1; 593; 250; 0; 70
9; 2; 460; 614; 60; 33
9; 3; 519; 370; 15; 42
9; 4; 652; 879; 50; 45
9; 5; 369; 485; 10; 55
9; 6; 332; 67; 20; 108
9; 7; 370; 782; 115; 24
9; 8; 581; 285; 85; 77
9; 9; 933; 310; 110; 87
9; 10; 973; 322; 65; 90
9; 11; 666; 122; 45; 89
9; 12; 275; 959; 100; 67
9; 13; 341; 132; 115; 100
9; 14; 706; 893; 120; 37
9; 15; 950; 247; 65; 115
9; 16; 27; 924; 80; 106
9; 17; 461; 367; 120; 39
9; 18; 647; 350; 30; 107
9; 19; 28; 276; 110; 96
9; 20; 715; 749; 40; 66
9; 21; 333; 293; 75; 70
9; 22; 881; 710; 55; 64
9; 23; 772; 970; 105; 39
9; 24; 672; 664; 85; 90
9; 25; 681; 422; 115; 24
9; 26; 936; 679; 80; 84
9; 27; 307; 113; 55; 25
9; 28; 717; 693; 0; 37
9; 29; 546; 675; 95; 36
9; 30; 648; 825; 15; 55
9; 31; 982; 612; 60; 90
9; 32; 680; 308; 100; 47
9; 33; 533; 988; 110; 22
9; 34; 649; 39; 45; 40
9; 35; 134; 357; 40; 64
9; 36; 973; 659; 60; 61
9; 37; 333; 932; 25; 42
9; 38; 691; 329; 25; 93
9; 39; 334; 261; 50; 78
9; 40; 229; 295; 60; 63
9; 41; 645; 47; 90; 76
9; 42; 479; 658; 35; 117
9; 43; 676; 710; 25; 34
9; 44; 343; 605; 75; 69
9; 45; 143; 994; 20; 31
9; 46; 685; 359; 65; 49
9; 47; 749; 843; 10; 69
9; 48; 594; 797; 75; 24
9; 49; 170; 655; 60; 28
9; 50; 623; 700; 95; 96
