scenario; id; x; y; arrival; demand
7; 1; 593; 250; 5; 98
7; 2; 460; 614; 50; 92
7; 3; 519; 370; 120; 74
7; 4; 652; 879; 60; 27
7; 5; 369; 485; 30; 70
7; 6; 332; 67; 80; 100
7; 7; 370; 782; 45; 27
7; 8; 581; 285; 35; 111
7; 9; 933; 310; 25; 65
7; 10; 973; 322; 115; 22
7; 11; 666; 122; 75; 115
7; 12; 275; 959; 25; 75
7; 13; 341; 132; 110; 33
7; 14; 706; 893; 65; 95
7; 15; 950; 247; 80; 67
7; 16; 27; 924; 25; 69
7; 17; 461; 367; 45; 68
7; 18; 647; 350; 45; 104
7; 19; 28; 276; 95; 51
7; 20; 715; 749; 70; 48
7; 21; 333; 293; 55; 55
7; 22; 881; 710; 80; 57
7; 23; 772; 970; 55; 92
7; 24; 672; 664; 50; 111
7; 25; 681; 422; 20; 94
7; 26; 936; 679; 50; 63
7; 27; 307; 113; 75; 72
7; 28; 717; 693; 50; 20
7; 29; 546; 675; 10; 91
7; 30; 648; 825; 65; 90
7; 31; 982; 612; 115; 88
7; 32; 680; 308; 5; 51
7; 33; 533; 988; 70; 44
7; 34; 649; 39; 120; 115
7; 35; 134; 357; 105; 67
7; 36; 973; 659; 105; 33
7; 37; 333; 932; 35; 66
7; 38; 691; 329; 90; 69
7; 39; 334; 261; 15; 54
7; 40; 229; 295; 40; 50
7; 41; 645; 47; 20; 61
7; 42; 479; 658; 55; 97
7; 43; 676; 710; 95; 72
7; 44; 343; 605; 55; 98
7; 45; 143; 994; 110; 87
7; 46; 685; 359; 100; 114
7; 47; 749; 843; 5; 108
7; 48; 594; 797; 30; 68
7; 49; 170; 655; 95; 92
7; 50; 623; 700; 15; 86
