scenario; id; x; y; arrival; demand
1; 1; 593; 250; 50; 92
1; 2; 460; 614; 0; 50
1; 3; 519; 370; 15; 29
1; 4; 652; 879; 20; 55
1; 5; 369; 485; 45; 74
1; 6; 332; 67; 50; 89
1; 7; 370; 782; 25; 108
1; 8; 581; 285; 0; 87
1; 9; 933; 310; 50; 76
1; 10; 973; 322; 15; 40
1; 11; 666; 122; 100; 117
1; 12; 275; 959; 35; 89
1; 13; 341; 132; 105; 109
1; 14; 706; 893; 10; 24
1; 15; 950; 247; 20; 108
1; 16; 27; 924; 10; 62
1; 17; 461; 367; 115; 73
1; 18; 647; 350; 85; 52
1; 19; 28; 276; 85; 103
1; 20; 715; 749; 0; 95
1; 21; 333; 293; 120; 95
1; 22; 881; 710; 35; 99
1; 23; 772; 970; 10; 65
1; 24; 672; 664; 110; 49
1; 25; 681; 422; 35; 33
1; 26; 936; 679; 0; 88
1; 27; 307; 113; 25; 47
1; 28; 717; 693; 60; 25
1; 29; 546; 675; 70; 35
1; 30; 648; 825; 70; 90
1; 31; 982; 612; 10; 61
1; 32; 680; 308; 85; 61
1; 33; 533; 988; 5; 74
1; 34; 649; 39; 80; 71
1; 35; 134; 357; 115; 79
1; 36; 973; 659; 110; 34
1; 37; 333; 932; 15; 101
1; 38; 691; 329; 45; 37
1; 39; 334; 261; 115; 55
1; 40; 229; 295; 90; 93
1; 41; 645; 47; 110; 82
1; 42; 479; 658; 90; 55
1; 43; 676; 710; 30; 110
1; 44; 343; 605; 50; 116
1; 45; 143; 994; 80; 82
1; 46; 685; 359; 10; 115
1; 47; 749; 843; 55; 78
1; 48; 594; 797; 50; 44
1; 49; 170; 655; 110; 77
1; 50; 623; 700; 0; 82
