scenario; id; x; y; arrival; demand
8; 1; 593; 250; 105; 117
8; 2; 460; 614; 105; 73
8; 3; 519; 370; 25; 21
8; 4; 652; 879; 50; 60
8; 5; 369; 485; 65; 68
8; 6; 332; 67; 65; 74
8; 7; 370; 782; 95; 91
8; 8; 581; 285; 75; 63
8; 9; 933; 310; 35; 117
8; 10; 973; 322; 40; 42
8; 11; 666; 122; 5; 118
8; 12; 275; 959; 15; 52
8; 13; 341; 132; 5; 42
8; 14; 706; 893; 45; 110
8; 15; 950; 247; 40; 118
8; 16; 27; 924; 0; 55
8; 17; 461; 367; 45; 96
8; 18; 647; 350; 115; 52
8; 19; 28; 276; 50; 47
8; 20; 715; 749; 100; 84
8; 21; 333; 293; 5; 80
8; 22; 881; 710; 95; 23
8; 23; 772; 970; 55; 99
8; 24; 672; 664; 120; 78
8; 25; 681; 422; 0; 65
8; 26; 936; 679; 20; 83
8; 27; 307; 113; 25; 35
8; 28; 717; 693; 65; 30
8; 29; 546; 675; 90; 114
8; 30; 648; 825; 115; 57
8; 31; 982; 612; 70; 86
8; 32; 680; 308; 60; 67
8; 33; 533; 988; 0; 27
8; 34; 649; 39; 50; 63
8; 35; 134; 357; 20; 73
8; 36; 973; 659; 70; 92
8; 37; 333; 932; 35; 60
8; 38; 691; 329; 100; 79
8; 39; 334; 261; 85; 71
8; 40; 229; 295; 100; 92
8; 41; 645; 47; 105; 40
8; 42; 479; 658; 35; 68
8; 43; 676; 710; 60; 81
8; 44; 343; 605; 100; 73
8; 45; 143; 994; 115; 92
8; 46; 685; 359; 20; 82
8; 47; 749; 843; 70; 96
8; 48; 594; 797; 100; 50
8; 49; 170; 655; 15; 84
8; 50; 623; 700; 0; 99
