scenario; id; x; y; arrival; demand
6; 1; 593; 250; 110; 53
6; 2; 460; 614; 100; 24
6; 3; 519; 370; 10; 80
6; 4; 652; 879; 65; 62
6; 5; 369; 485; 40; 82
6; 6; 332; 67; 50; 94
6; 7; 370; 782; 60; 78
6; 8; 581; 285; 80; 119
6; 9; 933; 310; 100; 61
6; 10; 973; 322; 105; 102
6; 11; 666; 122; 5; 92
6; 12; 275; 959; 100; 94
6; 13; 341; 132; 85; 74
6; 14; 706; 893; 15; 116
6; 15; 950; 247; 50; 42
6; 16; 27; 924; 85; 119
6; 17; 461; 367; 30; 87
6; 18; 647; 350; 70; 92
6; 19; 28; 276; 115; 55
6; 20; 715; 749; 30; 60
6; 21; 333; 293; 90; 92
6; 22; 881; 710; 50; 119
6; 23; 772; 970; 55; 57
6; 24; 672; 664; 85; 28
6; 25; 681; 422; 45; 97
6; 26; 936; 679; 95; 48
6; 27; 307; 113; 20; 67
6; 28; 717; 693; 40; 93
6; 29; 546; 675; 20; 53
6; 30; 648; 825; 105; 82
6; 31; 982; 612; 110; 118
6; 32; 680; 308; 100; 38
6; 33; 533; 988; 75; 68
6; 34; 649; 39; 50; 94
6; 35; 134; 357; 100; 88
6; 36; 973; 659; 15; 90
6; 37; 333; 932; 5; 39
6; 38; 691; 329; 115; 61
6; 39; 334; 261; 15; 88
6; 40; 229; 295; 20; 85
6; 41; 645; 47; 30; 24
6; 42; 479; 658; 115; 27
6; 43; 676; 710; 60; 54
6; 44; 343; 605; 80; 104
6; 45; 143; 994; 75; 79
6; 46; 685; 359; 10; 91
6; 47; 749; 843; 25; 69
6; 48; 594; 797; 0; 52
6; 49; 170; 655; 105; 76
6; 50; 623; 700; 65; 57
