scenario; id; x; y; arrival; demand
3; 1; 593; 250; 65; 91
3; 2; 460; 614; 35; 71
3; 3; 519; 370; 110; 110
3; 4; 652; 879; 15; 41
3; 5; 369; 485; 5; 64
3; 6; 332; 67; 0; 66
3; 7; 370; 782; 80; 48
3; 8; 581; 285; 80; 79
3; 9; 933; 310; 0; 76
3; 10; 973; 322; 30; 62
3; 11; 666; 122; 35; 89
3; 12; 275; 959; 55; 36
3; 13; 341; 132; 65; 98
3; 14; 706; 893; 35; 42
3; 15; 950; 247; 45; 114
3; 16; 27; 924; 120; 87
3; 17; 461; 367; 110; 105
3; 18; 647; 350; 45; 29
3; 19; 28; 276; 80; 76
3; 20; 715; 749; 45; 43
3; 21; 333; 293; 50; 67
3; 22; 881; 710; 30; 49
3; 23; 772; 970; 55; 106
3; 24; 672; 664; 70; 48
3; 25; 681; 422; 30; 65
3; 26; 936; 679; 25; 40
3; 27; 307; 113; 60; 29
3; 28; 717; 693; 60; 56
3; 29; 546; 675; 85; 95
3; 30; 648; 825; 85; 89
3; 31; 982; 612; 45; 87
3; 32; 680; 308; 40; 77
3; 33; 533; 988; 40; 65
3; 34; 649; 39; 5; 44
3; 35; 134; 357; 120; 43
3; 36; 973; 659; 85; 85
3; 37; 333; 932; 90; 68
3; 38; 691; 329; 70; 27
3; 39; 334; 261; 5; 40
3; 40; 229; 295; 15; 30
3; 41; 645; 47; 15; 75
3; 42; 479; 658; 20; 115
3; 43; 676; 710; 85; 74
3; 44; 343; 605; 85; 46
3; 45; 143; 994; 115; 104
3; 46; 685; 359; 90; 68
3; 47; 749; 843; 105; 94
3; 48; 594; 797; 80; 111
3; 49; 170; 655; 75; 57
3; 50; 623; 700; 65; 40
