scenario; id; x; y; arrival; demand
10; 1; 593; 250; 95; 22
10; 2; 460; 614; 75; 95
10; 3; 519; 370; 60; 42
10; 4; 652; 879; 20; 96
10; 5; 369; 485; 20; 29
10; 6; 332; 67; 85; 115
10; 7; 370; 782; 0; 71
10; 8; 581; 285; 100; 81
10; 9; 933; 310; 90; 49
10; 10; 973; 322; 110; 91
10; 11; 666; 122; 65; 34
10; 12; 275; 959; 45; 87
10; 13; 341; 132; 55; 63
10; 14; 706; 893; 75; 71
10; 15; 950; 247; 80; 80
10; 16; 27; 924; 100; 72
10; 17; 461; 367; 110; 52
10; 18; 647; 350; 10; 50
10; 19; 28; 276; 10; 103
10; 20; 715; 749; 5; 83
10; 21; 333; 293; 65; 102
10; 22; 881; 710; 20; 106
10; 23; 772; 970; 40; 95
10; 24; 672; 664; 35; 108
10; 25; 681; 422; 40; 37
10; 26; 936; 679; 45; 29
10; 27; 307; 113; 100; 35
10; 28; 717; 693; 45; 114
10; 29; 546; 675; 120; 66
10; 30; 648; 825; 100; 45
10; 31; 982; 612; 70; 110
10; 32; 680; 308; 65; 79
10; 33; 533; 988; 0; 56
10; 34; 649; 39; 5; 51
10; 35; 134; 357; 40; 97
10; 36; 973; 659; 0; 63
10; 37; 333; 932; 35; 84
10; 38; 691; 329; 40; 24
10; 39; 334; 261; 105; 96
10; 40; 229; 295; 105; 62
10; 41; 645; 47; 75; 71
10; 42; 479; 658; 70; 46
10; 43; 676; 710; 35; 23
10; 44; 343; 605; 35; 44
10; 45; 143; 994; 65; 77
10; 46; 685; 359; 55; 49
10; 47; 749; 843; 5; 118
10; 48; 594; 797; 40; 70
10; 49; 170; 655; 120; 64
10; 50; 623; 700; 35; 72
